force;displacement;velocity;current;frequency
-1.263905048;-0.797659516;-156.2865379;0;1
-1.264433622;-0.955138028;-156.1844003;0;1
-1.265548229;-1.112677455;-156.0760969;0;1
-1.264547944;-1.269946456;-155.9616319;0;1
-1.262225389;-1.427652955;-155.8410098;0;1
-1.260784388;-1.585258007;-155.7142353;0;1
-1.261356354;-1.742262483;-155.5813136;0;1
-1.261335015;-1.899097443;-155.4422497;0;1
-1.260844827;-2.056497097;-155.2970492;0;1
-1.260674953;-2.21391654;-155.1457179;0;1
-1.260499835;-2.371007919;-154.9882617;0;1
-1.260228753;-2.52760601;-154.8246868;0;1
-1.259855628;-2.684518099;-154.6549997;0;1
-1.258720636;-2.84136343;-154.4792071;0;1
-1.258744597;-2.997678041;-154.2973159;0;1
-1.258438349;-3.154517889;-154.1093333;0;1
-1.258330584;-3.311234474;-153.9152667;0;1
-1.257155776;-3.467547417;-153.7151239;0;1
-1.254773259;-3.623385429;-153.5089126;0;1
-1.253281951;-3.778960943;-153.296641;0;1
-1.250581145;-3.934832096;-153.0783176;0;1
-1.248875022;-4.090430737;-152.8539509;0;1
-1.246171355;-4.245413303;-152.6235497;0;1
-1.244781852;-4.4008708;-152.3871233;0;1
-1.242776036;-4.555932999;-152.1446809;0;1
-1.239525795;-4.710673332;-151.896232;0;1
-1.236244202;-4.86540556;-151.6417866;0;1
-1.23400259;-5.020346642;-151.3813546;0;1
-1.23081696;-5.175395966;-151.1149463;0;1
-1.22971344;-5.330266476;-150.8425723;0;1
-1.227612019;-5.484659195;-150.5642432;0;1
-1.226436257;-5.638710022;-150.2799702;0;1
-1.22487998;-5.7924366;-149.9897643;0;1
-1.221235991;-5.945991993;-149.6936371;0;1
-1.219566345;-6.099887371;-149.3916003;0;1
-1.216273785;-6.253029823;-149.0836657;0;1
-1.21458602;-6.40577364;-148.7698456;0;1
-1.213868976;-6.558556557;-148.4501522;0;1
-1.212435961;-6.711286068;-148.1245984;0;1
-1.209218979;-6.863244057;-147.7931968;0;1
-1.206460834;-7.015398026;-147.4559606;0;1
-1.203754783;-7.166470528;-147.112903;0;1
-1.201788545;-7.317717552;-146.7640378;0;1
-1.198459983;-7.468351364;-146.4093785;0;1
-1.193690658;-7.61876297;-146.0489392;0;1
-1.188886762;-7.768792629;-145.6827342;0;1
-1.184465766;-7.919280052;-145.3107778;0;1
-1.178979754;-8.069274902;-144.9330849;0;1
-1.17361784;-8.218836784;-144.5496702;0;1
-1.170796633;-8.367670059;-144.160549;0;1
-1.168781042;-8.516569138;-143.7657365;0;1
-1.166563153;-8.66442585;-143.3652484;0;1
-1.163956165;-8.811749458;-142.9591005;0;1
-1.160817027;-8.959849358;-142.5473089;0;1
-1.158400774;-9.107409477;-142.1298897;0;1
-1.155346394;-9.253857613;-141.7068594;0;1
-1.152511239;-9.400109291;-141.2782348;0;1
-1.148857951;-9.546643257;-140.8440328;0;1
-1.143591762;-9.692857742;-140.4042705;0;1
-1.138715148;-9.839177132;-139.9589653;0;1
-1.135478854;-9.984127045;-139.5081347;0;1
-1.133204341;-10.12844372;-139.0517966;0;1
-1.12875104;-10.2721796;-138.589969;0;1
-1.12315619;-10.41573811;-138.1226701;0;1
-1.119066834;-10.55917931;-137.6499183;0;1
-1.112704992;-10.70245266;-137.1717324;0;1
-1.10890615;-10.84418392;-136.6881311;0;1
-1.105204225;-10.98601437;-136.1991336;0;1
-1.101984024;-11.12682343;-135.7047592;0;1
-1.097274184;-11.26762676;-135.2050275;0;1
-1.093909621;-11.40835571;-134.699958;0;1
-1.089421749;-11.54877567;-134.1895709;0;1
-1.085490346;-11.68853188;-133.6738861;0;1
-1.081994772;-11.82823658;-133.1529242;0;1
-1.078131795;-11.9674511;-132.6267056;0;1
-1.076153755;-12.10509682;-132.0952511;0;1
-1.074208021;-12.24283791;-131.5585817;0;1
-1.070835233;-12.38079834;-131.0167186;0;1
-1.06589818;-12.51840019;-130.4696832;0;1
-1.062129974;-12.65470314;-129.9174971;0;1
-1.057962418;-12.7907362;-129.3601821;0;1
-1.05290699;-12.92607117;-128.7977601;0;1
-1.048381448;-13.0609169;-128.2302535;0;1
